CW00053	MTR_PreAlign_Mode(0:Origin / 1: New)	H50.77
CW00054	STR1_PreAlign_Mode(0:Origin / 1: New)	H50.79
CW00055	Vision Seperate(0:Unuse 1:Use)	H50.12,H50.17,H50.18,H80.03
CW00200		H40.50,H40.60
CW00218		H50.54
DB000000		H-Scan Main,H30.24,H50.40,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H60.30,H60.31,H60.32,H60.33,H80.20,H80.21,H80.22,H90.50,H90.80,H90.90,H90.99,H99.01
DB000001		H-Scan Main,H30.20,H30.21,H30.22,H30.24,H50.10,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H60.20,H60.30,H60.31,H60.32,H60.33,H80.10,H80.12,H90.50,H90.90,H90.99,H99.02
DB000002		H-Scan Main,H30.21,H30.22,H30.24,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.01,H80.60,H90.50,H90.99
DB000003		H20.03,H30.21,H30.22,H30.24,H40.60,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.01,H80.10,H80.11,H90.50
DB000004		H30.20,H30.21,H30.22,H30.24,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.60,H90.50,H90.90
DB000005		H30.21,H30.22,H30.24,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.01,H80.10,H80.12,H90.50,H90.99
DB000006		H30.20,H30.21,H30.22,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.11,H80.12,H80.18,H90.50,H90.99
DB000007		H30.21,H30.22,H30.23,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.14,H90.50,H90.62,H90.99
DB000008		H30.21,H30.23,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.12,H90.50,H90.62
DB000009		H30.20,H30.21,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.12,H90.50
DB00000A		H30.20,H30.21,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.11,H80.12,H80.14,H90.20,H90.50
DB00000B		H30.20,H30.21,H40.50,H40.60,H50.41,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.12,H90.50
DB00000C		H30.21,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00000D		H30.21,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.11,H90.50
DB00000E		H30.21,H40.10,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.60,H90.50
DB00000F		H30.21,H30.23,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H80.60,H90.50
DB000010		H20.02,H20.30,H30.10,H30.15_Panel Existence,H30.21,H30.24,H40.21,H40.50,H40.60,H50.01,H50.17,H50.40,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H50.74,H60.20,H60.34,H60.40,H80.01,H80.12,H80.14,H90.55,H90.80,H90.90,H90.99,H99.01,H99.02
